ClientId,distance,risk_score,risk_level,reason,anomaly,high_amount_flag,high_variance_flag,high_frequency_flag,total_amount,avg_transaction,total_transactions,suspicious
711165,4.601498399674082,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.38659739009463,10.789472275499351,733,True
751122,4.526362458389013,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.18839767227627,8.187429943119149,1098,True
720987,29.22556637554762,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.058617550046474,8.055864624769118,8128,True
751365,6.098027859184742,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.272270394210338,8.628008578175587,2089,True
746837,10.783149673440597,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.71755585705198,7.659699954354591,3160,True
751597,4.404939390132037,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.686267103768774,8.90648055599151,880,True
729710,10.952022013989156,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.098579882832098,9.028106299355377,3199,True
751211,4.634333774385408,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.609718010102362,8.605019051624339,1102,True
751677,11.625140139414544,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.363697105969814,7.181060624779254,3581,True
756790,4.5765234218906725,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.435624399327715,8.438244654919034,1094,True
757056,5.3135685962463635,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.67872962350551,7.38090732176842,1478,True
746902,4.724202659685993,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.56656639517246,10.670906884628765,988,True
757843,7.638037119467654,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.862783687455531,8.047896320358085,2478,True
2516135,9.059452211981737,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.85142505814447,9.971423555067116,2644,True
